# Cherax module — byte-pattern signatures extracted from strings_module.txt
# Total instances: 95,  unique strings: 94
#
# These are AOB-scan patterns the module uses to locate code/data inside the
# target (GTA5_Enhanced.exe + game scripts) for hooks/patches. '?' = wildcard.
#

## CATEGORY A — x86/x64 native machine-code signatures (82 unique)
## Used by module to pattern-scan gta5_enhanced.exe .text section
================================================================================
0x180764907  L=20   0F 84 ? ? ? ? FF 95
0x1807677df  L=40   0F B6 0D ? ? ? ? F6 C1 ? 48 0F 44 C7 BA
0x1807726db  L=35   40 53 48 83 EC ? 48 8B 12 0F 57 C0
0x18074f5ff  L=40   41 56 56 57 53 48 83 EC ? 0F B6 42 ? A8
0x180728276  L=35   41 56 56 57 53 48 83 EC ? 48 89 C8
0x180742238  L=27   41 80 78 ? ? 75 ? 49 8B 80
0x18070cb4f  L=39   41 B8 0D 7E 53 BC 41 B9 0C 31 04 AE E9
0x18071bef1  L=35   41 B8 F0 00 00 00 E8 ? ? ? ? 84 C0
0x18072a093  L=40   45 31 C9 E8 ? ? ? ? EB ? 31 C0 48 81 C4
0x18070f2ce  L=26   48 03 15 ? ? ? ? 48 21 F2
0x18071df79  L=33   48 83 B9 ? ? ? ? ? 74 ? 0F B7 81
0x18076ea14  L=39   48 83 EC ? 0F B6 05 ? ? ? ? 83 F8 ? 74
0x180758cef  L=29   48 83 EC ? 89 CA 48 8D 4C 24
0x1807686f3  L=32   48 85 D2 0F 84 ? ? ? ? 4C 63 41
0x1807683b2  L=32   48 85 D2 0F 84 ? ? ? ? 4C 8B 41
0x180768a54  L=34   48 85 D2 74 ? 48 8B 41 ? 48 89 02
0x18072f88d  L=37   48 8B 05 ? ? ? ? 0F B7 50 ? 44 89 E1
0x1807314d3  L=26   48 8B 05 ? ? ? ? 45 31 ED
0x1807289d3  L=29   48 8B 05 ? ? ? ? 48 83 F8 FF
0x18074890a  L=37   48 8B 05 ? ? ? ? 48 8B 48 ? 48 8B 70
0x180726d11  L=23   48 8B 0D ? ? ? ? 81 B9
0x180743a3d  L=40   48 8B 1D ? ? ? ? 48 85 DB 74 ? 48 8D 3D
0x180737bb4  L=23   48 8B 3D ? ? ? ? 83 F9
0x18070a3f6  L=40   48 8B 44 24 ? 44 8B 80 ? ? ? ? 44 89 E0
0x18076c50d  L=38   48 8D 0D ? ? ? ? 48 89 F2 4C 8D 44 24
0x18070f62f  L=35   48 8D 15 ? ? ? ? 49 89 D8 4D 89 F1
0x18075cb19  L=23   48 8D 15 ? ? ? ? 80 3D
0x18072b578  L=38   48 8D 2D ? ? ? ? 48 89 E9 48 89 DA E8
0x180720781  L=38   48 8D 35 ? ? ? ? 48 01 C6 F3 0F 10 5B
0x18070efdd  L=26   4C 8D 1D ? ? ? ? 49 89 C8
0x180728ee0  L=29   4C 8D 3D ? ? ? ? 49 8D 34 2F
0x180723099  L=37   56 48 83 EC ? 48 85 D2 74 ? 0F B6 02
0x180732dd4  L=39   56 48 83 EC ? 81 F9 ? ? ? ? 74 ? 89 CA
0x18073d75c  L=35   56 53 48 83 EC ? 44 89 CB 48 89 CE
0x18076d6f1  L=35   56 53 48 83 EC ? 48 89 D6 48 85 D2
0x180722416  L=29   56 57 48 83 EC ? 89 CE 81 F9
0x18071632f  L=35   56 57 53 48 83 EC ? 89 CF 0F B6 4A
0x180755a16  L=40   56 57 55 53 48 83 EC ? 85 D2 74 ? 31 C0
0x180713b78  L=34   66 83 FA ? 77 ? 0F B7 C2 48 8D 0D
0x180709102  L=24   72 C7 EB 02 31 C0 8B 0D
0x18073e46f  L=28   75 ? 0F B6 8A ? ? ? ? 89 C8
0x1807535af  L=34   80 7F ? ? 75 ? 80 BF ? ? ? ? ? 79
0x1807330a5  L=27   83 B9 ? ? ? ? ? 74 ? 83 FA
0x1807143ea  L=37   83 F9 ? 77 ? 80 3D ? ? ? ? ? 74 ? E9
0x180711866  L=40   84 C0 75 ? 89 F1 E8 ? ? ? ? 48 85 C0 74
0x18071fe7f  L=29   85 C9 0F 88 ? ? ? ? 41 89 C9
0x1807598a2  L=34   8B 05 ? ? ? ? FF C8 83 F8 ? 0F 83
0x180731824  L=35   8B 0D ? ? ? ? 0F A3 C8 40 0F 92 C7
0x18070b77a  L=38   8B 86 ? ? ? ? A8 ? 75 ? 83 C8 ? 89 86
0x18075f87c  L=24   BF 1D 00 00 00 0F 44 F9
0x180770f01  L=33   C7 04 25 00 00 00 00 00 00 00 00
