# Module inline-string scan: 3025 hits, 1877 unique printable

CALL_ADDR    L   STRING
------------------------------------------------------------
0x1800a7ee3  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800a8cff  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800a9b1f  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800aa919  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800ab827  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800ac5ff  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800ad372  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800ae3a9  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800af0d2  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800c0687  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800c15d3  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800c7c6e   7  'avatar'
0x1800c8f99   8  'modules'
0x1800c920b   5  'name'
0x1800cab89  20  '/api/loader/scripts'
0x1800cac82   8  'scripts'
0x1800cba61   5  'name'
0x1800d1db0  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800e6a08  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800ecbb5  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800ee399  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1800ffd03  26  'Enable Custom Window Size'
0x1801004fa   5  'Font'
0x18010059a   2  <bin> f1ea
0x1801394f1  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x180146b07  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x18014f415  37  "Failed to create hook '{}' at 0x{:X}"
0x18014fa40  37  "Failed to enable hook '{}' at 0x{:X}"
0x18014fe02  37  "Failed to fix hook address for '{}'."
0x180155620  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x18016c430   5  'None'
0x18016c4c4   5  'Full'
0x18016c587   5  'None'
0x18016c7a8   5  'None'
0x18016cd15  20  'Draw Bullet Tracers'
